REGISTARSKI_BROJ;DATUM_UPISA;NAZIV;SKRACENI_NAZIV;SJEDISTE;OSOBE;OIB;STATUS
3;19.01.90;HRVATSKA SOCIJALNO - LIBERALNA STRANKA;HSLS;Trg Nikole Šubića Zrinskog 17/I, Zagreb;Kosor Darinko - PREDSJEDNIK - predstavlja i zastupa;08692235081;AKTIVNA
6;02.02.90;HRVATSKA DEMOKRŠĆANSKA STRANKA;HDS;Palmotičeva 13, Zagreb;Dodig Goran - PREDSJEDNIK - predstavlja i zastupa;46591217876;AKTIVNA
8;25.01.90;HRVATSKA DEMOKRATSKA ZAJEDNICA;HDZ;Trg žrtava fašizma 4/III, Zagreb;Plenković Andrej - PREDSJEDNIK - predstavlja i zastupa;04150008463;AKTIVNA
9;07.02.90;HRVATSKA SELJAČKA STRANKA;HSS;Zvonimirova 17, Zagreb;Beljak Krešo - PREDSJEDNIK - predstavlja i zastupa;56890881647;AKTIVNA
14;19.02.90;ISTARSKI DEMOKRATSKI SABOR;IDS;Splitska 3, Pula;Miletić Boris - PREDSJEDNIK - predstavlja i zastupa;16964251485;AKTIVNA
18;13.03.90;PRIMORSKO GORANSKI SAVEZ;PGS;Ciottina 19, Rijeka;Vasilić Darijo - PREDSJEDNIK - predstavlja i zastupa;41495097026;AKTIVNA
19;27.02.90;HRVATSKA STRANKA PRAVA;HSP;Primorska 5, Zagreb;Starčević Karlo - PREDSJEDNIK - predstavlja i zastupa;26665813859;AKTIVNA
42;29.08.90;STRANKA DEMOKRATSKE AKCIJE HRVATSKE;SDA HRVATSKE;Mandaličina 17, Zagreb;Srebreniković Mirsad - PREDSJEDNIK - predstavlja i zastupa;19621827951;AKTIVNA
45;22.10.90;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI;HNS;Ulica Kneza Mislava 8, Zagreb;Vrdoljak Ivan  - PREDSJEDNIK - predstavlja i zastupa;82435880635;AKTIVNA
62;28.05.91;SRPSKA NARODNA STRANKA;SNS;Mažuranićev trg 3, Zagreb;Kojić Zoran - PREDSJEDNIK - predstavlja i zastupa;95271042726;AKTIVNA
68;18.02.92;HRVATSKI OSLOBODILAČKI POKRET;HOP;Šenoina 27, Zagreb;Brekalo Mirko - PREDSJEDNIK - predstavlja i zastupa: Dilberović Branko - DOPREDSJEDNIK - predstavlja i zastupa: Patrun Ivan - DOPREDSJEDNIK - predstavlja i zastupa;65242725782;AKTIVNA
83;25.02.93;HRVATSKA ČISTA STRANKA PRAVA;HČSP;Trg kralja Tomislava 2, Velika Gorica;Trbuha Davor - PREDSJEDNIK - predstavlja i zastupa;51883337941;AKTIVNA
88;01.02.90;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE;SDP;Iblerov trg 9, Zagreb;Vukas Nikša - POSLOVNI DIREKTOR - zastupa: Bernardić Davor - PREDSJEDNIK - predstavlja i zastupa;02010978731;AKTIVNA
95;05.12.94;HRVATSKA DEMOKRATSKA SELJAČKA STRANKA;HDSS;Strosmayerova 9, Čakovec;Martan Ivan - PREDSJEDNIK - predstavlja i zastupa;33992900495;AKTIVNA
97;17.07.95;HRVATSKA STRANKA PRAVA - 1861;HSP - 1861;Remetinečka cesta 77a, Zagreb;Paraga Dobroslav - PREDSJEDNIK - predstavlja i zastupa;50798154188;AKTIVNA
99;06.10.95;ABECEDA DEMOKRACIJE;ABECEDA;Poljička 13, Zagreb;Vujanić Stjepan - PREDSJEDNIK - predstavlja i zastupa;11736554421;AKTIVNA
100;06.10.95;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA;SDSS;Trg Drvena pijaca 28, Vukovar;Pupovac Milorad - PREDSJEDNIK - predstavlja i zastupa: Rkman Bogdan - PREDSJEDNIK IZVRŠNOG ODBORA - predstavlja i zastupa;39908510192;AKTIVNA
101;03.06.96;HRVATSKA STRANKA UMIROVLJENIKA;HSU;Baruna Trenka 7, Zagreb;Hrelja Silvano - PREDSJEDNIK - predstavlja i zastupa;27101359149;AKTIVNA
107;19.02.97;RAPSKI PUČKI SABOR;RPS;Jurja Barakovića 11, Rab;Žic Mladen - PREDSJEDNIK - predstavlja i zastupa;62738407900;AKTIVNA
110;24.02.97;ZAGORSKA DEMOKRATSKA STRANKA;ZDS;Matije Gupca 53, Zabok;Belina Stanko - PREDSJEDNIK - predstavlja i zastupa;37654664728;AKTIVNA
111;08.09.97;GRAĐANSKA STRANKA SISAK;GSS;Ivana Meštrovića 32, Sisak;Pintarić Božidar - PREDSJEDNIK - predstavlja i zastupa;53341698825;AKTIVNA
112;14.01.98;SOCIJALISTIČKA RADNIČKA PARTIJA HRVATSKE;SRP;Pavla Hatza 14, Zagreb;Bušić Vlado - PREDSJEDNIK - predstavlja i zastupa;21748965627;AKTIVNA
125;19.03.99;DEMOKRATSKA PRIGORSKO-ZAGREBAČKA STRANKA;DPS;Trg Ante Starčevića 13, Sveti Ivan Zelina;Kožić Zdravko - PREDSJEDNIK - predstavlja i zastupa;64935763331;AKTIVNA
128;10.11.99;NOVA HRVATSKA;NH;Ksaver 200, Zagreb;Šamija Borko - PREDSJEDNIK - predstavlja i zastupa;46143633175;AKTIVNA
131;10.08.00;STRANKA UMIROVLJENIKA;SU;Jurišićeva 1/V, Zagreb;Grujić Lazar - PREDSJEDNIK - predstavlja i zastupa;32843121594;AKTIVNA
134;01.03.01;MEĐIMURSKA STRANKA;MS;Zvonimira Milkovića bb, Čakovec;Grašić Damir - PREDSJEDNIK - predstavlja i zastupa;36176331004;AKTIVNA
135;12.03.01;DEMOKRATSKA STRANKA UMIROVLJENIKA;DSU;Stjepana i Antuna Radića 20, Sisak;Tičarić Milivoj - PREDSJEDNIK - predstavlja i zastupa;19578261879;AKTIVNA
137;26.03.01;ZELENA STRANKA;ZS;Kotoribska 34, Zagreb;Babić Aljoša - PREDSJEDNIK - predstavlja i zastupa;40857015687;AKTIVNA
140;17.04.01;JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE;JADRANSKI SOCIJALDEMOKRATI;Đorđićeva 5, Split;Kovačić Boris - PREDSJEDNIK - predstavlja i zastupa: Marušić Josip - DOPREDSJEDNIK - predstavlja i zastupa;92762294306;AKTIVNA
149;14.03.02;DEMOKRATSKA KNEGINEČKA STRANKA;DKS;Toplička 98, Gornji Kneginec;Keretić Damir - PREDSJEDNIK - predstavlja i zastupa;86378509070;AKTIVNA
153;18.03.03;AUTONOMNA REGIONALNA STRANKA HRVATSKOG PRIMORJA, GORSKOG KOTARA, OTOKA I RIJEKE;ARS;Ciottina 19, Rijeka;Jelušić Ivo - PREDSJEDNIK - predstavlja i zastupa;96925777632;AKTIVNA
154;30.04.03;AUTOHTONA - HRVATSKA STRANKA PRAVA;A - HSP;Ilica 31, Zagreb;Keleminec Dražen - PREDSJEDNIK - predstavlja i zastupa;84404674327;AKTIVNA
157;17.06.03;ZELENI SAVEZ;ZELENI;Koparska 58, Pula;Rupnik Josip Anton - PREDSJEDNIK - predstavlja i zastupa;58846771856;AKTIVNA
158;07.08.03;HRVATSKA STRANKA NEZAPOSLENIH;HSN;Osječka 29, Pula;Milinović Viktor - PREDSJEDNIK - predstavlja i zastupa;82664540044;AKTIVNA
